#Strain	Comment
A1024077	Monsanto Technology, LLC, PVP 201000415
A1024103	Monsanto Technology, LLC, PVP 201000413
A1024167	Monsanto Technology, LLC, PVP 201000440
A1024184	Monsanto Technology, LLC, PVP 201100014
A1024197	Monsanto Technology, LLC, PVP 201000442
A1024198	Monsanto Technology, LLC, PVP 201100022
A1024210	Monsanto Technology, LLC, PVP 201000412
A1024212	Monsanto Technology, LLC, PVP 201000408
A1024216	Monsanto Technology, LLC, PVP 201100021
A1024230	Monsanto Technology, LLC, PVP 201000406
A1024249	Monsanto Technology, LLC, PVP 201000407
A1024300	Monsanto Technology, LLC, PVP 201100018
A1024305	Monsanto Technology, LLC, PVP 201000441
A1024318	Monsanto Technology, LLC, PVP 201000426
A1024340	Monsanto Technology, LLC, PVP 201100024
A1024341	Monsanto Technology, LLC, PVP 201000427
A1024350	Monsanto Technology, LLC, PVP 201100016
A1024629	Monsanto Technology, LLC, PVP 201000428
A1024630	Monsanto Technology, LLC, PVP 201000429
A1024631	Monsanto Technology, LLC, PVP 201000398
A1024638	Monsanto Technology, LLC, PVP 201000397
A1024650	Monsanto Technology, LLC, PVP 201100015
A1024666	Monsanto Technology, LLC, PVP 201000399
A1024693	Monsanto Technology, LLC, PVP 201100017
A1024702	Monsanto Technology, LLC, PVP 201000402
A1024705	Monsanto Technology, LLC, PVP 201000403
A1024719	Monsanto Technology, LLC, PVP 201000443
A1024720	Monsanto Technology, LLC, PVP 201100012
A1024750	Monsanto Technology, LLC, PVP 201000436
A1024751	Monsanto Technology, LLC, PVP 201000404
A1024755	Monsanto Technology, LLC, PVP 201100025
A1024763	Monsanto Technology, LLC, PVP 201000405
A1025937	Monsanto Technology, LLC, PVP 201100503
A1026046	Monsanto Technology, LLC, PVP 201100523
A1026139	Monsanto Technology, LLC, PVP 201100522
A1026142	Monsanto Technology, LLC, PVP 201100521
A1026150	Monsanto Technology, LLC, PVP 201100520
A1026151	Monsanto Technology, LLC, PVP 201100519
A1026219	Monsanto Technology, LLC, PVP 201100518
A1026287	Monsanto Technology, LLC, PVP 201400016
A1026305	Monsanto Technology, LLC, PVP 201100517
A1026312	Monsanto Technology, LLC, PVP 201300104
A1026332	Monsanto Technology, LLC, PVP 201100516
A1026344	Monsanto Technology, LLC, PVP 201100515
A1026390	Monsanto Technology, LLC, PVP 201100514
A1026393	Monsanto Technology, LLC, PVP 201100513
A1026415	Monsanto Technology, LLC, PVP 201100512
A1026418	Monsanto Technology, LLC, PVP 201100511
A1026419	Monsanto Technology, LLC, PVP 201100510
A1026436	Monsanto Technology, LLC, PVP 201100509
A1026437	Monsanto Technology, LLC, PVP 201100508
A1026458	Monsanto Technology, LLC, PVP 201100507
A1026474	Monsanto Technology, LLC, PVP 201100506
A1026505	Monsanto Technology, LLC, PVP 201100504
A1026545	Monsanto Technology, LLC, PVP 201100482
A1026552	Monsanto Technology, LLC, PVP 201100502
A1026561	Monsanto Technology, LLC, PVP 201100501
A1026591	Monsanto Technology, LLC, PVP 201100500
A1026602	Monsanto Technology, LLC, PVP 201100499
